linkStart,linkEnd,capacity
R1998,R1321,60606
R4114,R3020,60606
R2783,R1993,60606
R2783,R2264,60606
R1992,R4194,60606
R3457,R1830,60606
R3490,R2543,60606
R4114,R2652,60606
R3490,R2950,60606
R3490,R3955,60606
R3490,R3161,60606
R1539,R1993,60606
R3158,R1993,60606
R2950,R2547,60606
R3945,R1078,60606
R2264,R2783,60606
R3195,R1992,60606
R1557,R1992,60606
R1830,R2428,60606
R1629,R4130,60606
R1629,R4114,60606
R1557,R3195,60606
R4115,R4130,60606
R4115,R4114,60606
R2264,R1539,60606
R1076,R3715,60606
R3372,R3668,60606
R1076,R4063,60606
R3719,R3195,60606
R3195,R2547,60606
R1321,R4026,60606
R3403,R1570,60606
R1532,R1992,60606
R3403,R3668,60606
R2153,R3097,60606
R3403,R2130,60606
R2264,R3158,60606
R3702,R4114,60606
R1091,R3144,60606
R1681,R3449,60606
R3595,R2203,60606
R1532,R1336,60606
R4033,R3449,60606
R1532,R1278,60606
R3595,R4033,60606
R2203,R3595,60606
R4215,R1992,60606
R1532,R1716,60606
R1532,R2021,60606
R1321,R3077,60606
R2203,R3449,60606
R4215,R3195,60606
R4194,R1992,60606
R4194,R3195,60606
R1321,R2309,60606
R3392,R3195,60606
R1681,R3595,60606
R2628,R3144,60606
R1091,R2628,60606
R3195,R3392,60606
R3195,R3697,60606
R3195,R1059,60606
R3945,R3490,60606
R4282,R4114,60606
R3372,R2547,60606
R2264,R4300,60606
R3097,R2153,60606
R4302,R4130,60606
R3216,R4130,60606
R3020,R4114,60606
R2264,R2513,60606
R3195,R1557,60606
R3195,R3719,60606
R3097,R1321,60606
R3945,R1334,60606
R4302,R4114,60606
R3020,R4130,60606
R2652,R4114,60606
R2652,R4130,60606
R1321,R2673,60606
R1726,R4130,60606
R1726,R4114,60606
R2159,R3715,60606
R3403,R3490,60606
R1465,R2428,60606
R3216,R4114,60606
R1465,R3457,60606
R2088,R1993,60606
R2088,R2264,60606
R3392,R1716,60606
R4282,R4130,60606
R2035,R4114,60606
R2035,R4130,60606
R3945,R3429,60606
R1176,R1743,60606
R3392,R1278,60606
R3195,R4215,60606
R3195,R4194,60606
R2408,R3457,60606
R2408,R2428,60606
R3392,R1336,60606
R1307,R1993,60606
R1307,R2264,60606
R3945,R1124,60606
R3945,R3092,60606
R3595,R1681,60606
R2264,R3201,60606
R1773,R4063,60606
R3935,R3490,60606
R3608,R3715,60606
R1830,R2264,60606
R4130,R4282,60606
R1321,R3097,60606
R3161,R2547,60606
R3161,R3490,60606
R1059,R3195,60606
R4130,R4115,60606
R4130,R1629,60606
R3935,R4263,60606
R3702,R4130,60606
R1773,R3715,60606
R4130,R3702,60606
R2264,R1307,60606
R4130,R2118,60606
R2264,R2555,60606
R3935,R2412,60606
R3935,R4117,60606
R1992,R3490,60606
R1830,R3121,60606
R1321,R1998,60606
R2628,R1998,60606
R3935,R3970,60606
R2428,R2790,60606
R3935,R1472,60606
R2264,R2088,60606
R3935,R4285,60606
R1419,R2295,60606
R2628,R1091,60606
R4263,R2752,60606
R2950,R3490,60606
R3955,R2547,60606
R4130,R4302,60606
R4130,R1726,60606
R2608,R2860,60606
R4130,R2035,60606
R4130,R3216,60606
R4130,R3020,60606
R4130,R2652,60606
R2860,R2608,60606
R2401,R4080,60606
R3955,R3490,60606
R2159,R4063,60606
R3372,R2459,60606
R2543,R2547,60606
R3372,R1570,60606
R1830,R1993,60606
R4033,R3595,60606
R2118,R4130,60606
R1059,R1992,60606
R2118,R4114,60606
R2142,R4291,33333
R4291,R2142,33333
R2673,R3097,33333
R3097,R2673,33333
R1830,R3891,30606
R4052,R2628,30606
R3891,R1830,30606
R2628,R4052,30606
R3490,R3063,30303
R2153,R1046,30303
R3490,R1635,30303
R1743,R3644,30303
R3773,R1993,30303
R3490,R3420,30303
R3490,R1798,30303
R1743,R4054,30303
R2153,R2809,30303
R3490,R1475,30303
R2264,R1807,30303
R2264,R4247,30303
R2153,R3949,30303
R3490,R1250,30303
R2264,R3874,30303
R3490,R4264,30303
R3490,R2943,30303
R2264,R4198,30303
R2153,R1961,30303
R2153,R4029,30303
R1743,R3709,30303
R1182,R1334,30303
R1743,R3491,30303
R2264,R3029,30303
R2264,R1764,30303
R1926,R4114,30303
R2153,R3982,30303
R2153,R2460,30303
R2153,R3111,30303
R3490,R3976,30303
R3170,R2264,30303
R1985,R3945,30303
R3490,R1778,30303
R4063,R3574,30303
R3490,R1610,30303
R2153,R4311,30303
R2153,R2982,30303
R2153,R2480,30303
R1743,R1522,30303
R2153,R2181,30303
R2153,R3992,30303
R2153,R1554,30303
R2153,R3824,30303
R1743,R3705,30303
R2153,R3725,30303
R2153,R1122,30303
R2153,R3524,30303
R3490,R4367,30303
R1743,R1363,30303
R2264,R2551,30303
R3490,R4096,30303
R2153,R4058,30303
R1743,R4230,30303
R2153,R1372,30303
R1743,R2095,30303
R3170,R1993,30303
R2264,R1954,30303
R2264,R2248,30303
R1743,R2487,30303
R2153,R4131,30303
R2264,R1052,30303
R4063,R1738,30303
R3490,R3879,30303
R2264,R2397,30303
R2153,R3602,30303
R2264,R1634,30303
R2153,R4038,30303
